id_comedor,comedor,nombre,direccion,colonia,delegacion
248,CC411,PUEBLO QUIETO,TIRIHUICO MZ  4 LT 1   C.P. 01780,TIZAMPAMPANO,ÁLVARO OBREGÓN
249,CC412,TAMBORCITO,CUAUHTEMOC #16  C.P. 05000,CUAJIMALPA,CUAJIMALPA
250,CC413,ML  ANGEL,ORIENTE 229  #118  C.P. 08500,AGRICOLA ORIENTAL,IZTACALCO
251,CC414,LAS LUPITAS,SUR 12  #525  C.P. 08500,AGRICOLA ORIENTAL,IZTACALCO
252,CC415,ALI'S,FRESNO NU MERO 298-C ,SANTA MARIA LA RIBERA,CUAUHTÉMOC
253,CC416,CIAM,LEANDRO VALLE  #35  C.P. 05410,SAN LORENZO ACOPILCO,CUAJIMALPA
254,CC417,PARA SERVIRLE  A USTED,4'   CERRADA  DE VIOLETA #17  C.P. 12300,SAN SALVADOR CUAUHTENCO,MILPA ALTA
255,CC418,VALERIA,SAN VICENTE #25  C.P. 14700,AMPLIACION  LA VENTA,TLALPAN
256,CC419,PERIKIN,5 DE FEBRERO #8   C.P. 14900,PUEBLO DE PARRES EL GUARDA,TLALPAN
257,CC420,DOIIIAPATY,ANDADOR XOCHIQUETZAL MZ  74  LT 1   C.P. 09700,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA
258,CC421,XIME,CALZADA DE LA NARANJA #1045  C.P. 02719,AMPLIACION SAN PEDRO XALPA II,AZCAPOTZALCO
259,CC422,LAS VECINAS,MARIANO MATAMOROS #144  C.P. 10900,SAN NICOLAS TOTOLAPAN,MAGDALENA  CONTRERAS
260,CC423,JUQUILA,CAYETANO ANDRADE MZ  53  LT 27   C.P. 09530,SANTA MARTHA ACATITLA SUR,IZTAPALAPA
261,CC424,TERESITA DE JESUS,COACOTA MZ  R LT 1   C.P. 01220,ZENON DELGADO,ÁLVARO OBREGÓN
262,CC425,LA MEDIA LUNA,ANDADOR ESTRAGON MZ  3 LOTE 5  C.P. 01230,TLAPECHICO,ÁLVARO OBREGÓN
263,CC426,LA ESPERANZA,REY YUPANQUI #37  C.P. 14430,CHIMALCOYOC,TLALPAN
264,CC427,CHAPIS,VICENTE GARC[A TORRES #211-A  C.P. 04330,EL ROSEDAL,COYOACÁN
265,CC428,TRES HERMANAS,5 DE MAYO  #12  C.P. 14480,PUEBLO LA MAGDALENA PETLACALCO,TLALPAN
266,CC429,EL SUENO DE OTROS,BATALLON LIGERO DE TOLUCA #124  C.P. 09230,UNIDAD HABITACIONAL EJERCITO DE ORIENTE INDECO II ZONA ISSSTE,IZTAPALAPA
267,CC430,ADELITAS,SUR 16  B #42  C.P. 08500,AGRICOLA ORIENTAL,IZTACALCO
268,CC431,LUPITA Y MARGARITA,FLORENTINO CASTRO MZ  2 LT 22   C.P. 13060,AMPLIACION  LA MESA SANTA CATARINA,TLAHUAC
269,CC432,RUTH,CHIMALPOPOCA  MZ  17  LT 4  C.P. 15660,ARENAL 3 SECCION,VENUSTIANO CARRANZA
270,CC433,EL NEGRITO,PUERTO MAZATLAN #240  C.P. 01290,PILOTO ADOLFO LOPEZ MATEOS,ÁLVARO OBREGÓN
271,CC434,IAN,PROLONGACION  MOCTEZUMA# 53  C.P. 04310,ROMERO DE TERRERO,COYOACÁN
272,CC435,A SU SERVICIO,GALEANA #66  C.P. 12400,BARRIO CHALMITA  SAN PABLO OZTOTEPEC,MILPA ALTA
273,CC436,LA HUERTA,JAZMIN  MZ 7 LT 1   C.P. 01230,LA HUERTA,ÁLVARO OBREGÓN
